0.0,-1.0,82,7,3,0,0
0.0,1.2000,110,7,3,0,0
0.0,-1.0,82,10,3,0,0
0.0,0.6000,110,10,3,JumpScratch,-9
0.3000,-1.0,900,7,3,0,0
0.3000,-1.0,900,10,3,0,0
0.6000,1.2000,110,4,3,0,0
0.6000,-1.0,900,7,3,0,0
0.9000,-1.0,900,4,3,0,0
0.9000,-1.0,900,7,3,0,0
2.4000,-1.0,82,1,3,0,0
2.4000,3.0,110,1,3,JumpScratch,9
2.4000,-1.0,82,4,3,0,0
2.4000,3.6000,110,4,3,0,0
2.7000,-1.0,900,1,3,0,0
2.7000,-1.0,900,4,3,0,0
3.0,-1.0,900,4,3,0,0
3.0,3.6000,110,7,3,0,0
3.3000,-1.0,900,4,3,0,0
3.3000,-1.0,900,7,3,0,0
4.8000,-1.0,80,7,3,0,0
4.8000,6.0,100,7,3,0,0
4.8000,-1.0,82,10,3,0,0
4.8000,5.4000,110,10,3,JumpScratch,-9
5.1000,-1.0,900,7,3,0,0
5.1000,-1.0,900,10,3,0,0
5.4000,6.0,110,4,3,0,0
5.4000,-1.0,900,7,3,0,0
5.7000,-1.0,900,4,3,0,0
5.7000,-1.0,900,7,3,0,0
7.2000,-1.0,82,1,3,0,0
7.2000,7.8000,110,1,3,JumpScratch,9
7.2000,-1.0,80,4,3,0,0
7.2000,8.4000,100,4,3,0,0
7.5000,-1.0,900,1,3,0,0
7.5000,-1.0,900,4,3,0,0
7.8000,-1.0,900,4,3,0,0
7.8000,8.4000,110,7,3,0,0
8.1000,-1.0,900,4,3,0,0
8.1000,-1.0,900,7,3,0,0
9.6000,-1.0,80,5,4,0,0
9.6000,18.9000,100,5,4,0,0
9.6000,-1.0,82,10,3,0,0
9.6000,10.2000,110,10,3,JumpScratch,-5
9.9000,-1.0,900,5,4,0,0
9.9000,-1.0,900,10,3,0,0
10.2000,-1.0,900,5,4,0,0
10.5000,-1.0,900,5,4,0,0
10.8000,-1.0,900,5,4,0,0
10.8000,-1.0,82,10,3,0,0
10.8000,11.4000,110,10,3,JumpScratch,-6
11.1000,-1.0,900,5,4,0,0
11.1000,-1.0,900,10,3,0,0
11.4000,-1.0,900,5,4,0,0
11.7000,-1.0,900,5,4,0,0
12.0,-1.0,900,5,4,0,0
12.0,-1.0,82,10,3,0,0
12.0,12.6000,110,10,3,JumpScratch,-7
12.3000,-1.0,900,5,4,0,0
12.3000,-1.0,900,10,3,0,0
12.6000,-1.0,900,5,4,0,0
12.9000,-1.0,900,5,4,0,0
13.2000,-1.0,900,5,4,0,0
13.2000,-1.0,82,10,3,0,0
13.2000,13.8000,110,10,3,JumpScratch,-8
13.5000,-1.0,900,5,4,0,0
13.5000,-1.0,900,10,3,0,0
13.8000,-1.0,900,5,4,0,0
14.1000,-1.0,900,5,4,0,0
14.4000,-1.0,82,1,3,0,0
14.4000,15.0,110,1,3,JumpScratch,5
14.4000,-1.0,900,5,4,0,0
14.7000,-1.0,900,1,3,0,0
14.7000,-1.0,900,5,4,0,0
15.0,-1.0,900,5,4,0,0
15.3000,-1.0,900,5,4,0,0
15.6000,-1.0,82,1,3,0,0
15.6000,16.2000,110,1,3,JumpScratch,6
15.6000,-1.0,900,5,4,0,0
15.9000,-1.0,900,1,3,0,0
15.9000,-1.0,900,5,4,0,0
16.2000,-1.0,900,5,4,0,0
16.5000,-1.0,900,5,4,0,0
