0.0,-1.0,82,3,2,0,0
0.0,0.9000,110,3,2,JumpScratch,-4
0.3000,-1.0,900,3,2,0,0
0.6000,-1.0,900,3,2,0,0
0.9000,1.2000,110,1,2,JumpScratch,4
0.9000,-1.0,10,11,2,0,0
1.2000,1.5000,110,3,2,JumpScratch,-4
1.2000,-1.0,10,9,2,0,0
1.5000,-1.0,82,7,2,0,0
1.5000,2.1000,110,7,2,JumpScratch,4
1.8000,-1.0,900,7,2,0,0
2.1000,-1.0,82,3,2,0,0
2.1000,4.8000,110,3,2,JumpScratch,4
2.1000,4.8000,110,9,2,JumpScratch,4
2.4000,-1.0,900,3,2,0,0
2.4000,-1.0,900,9,2,0,0
2.7000,-1.0,900,3,2,0,0
2.7000,-1.0,900,9,2,0,0
3.0,-1.0,900,3,2,0,0
3.0,-1.0,900,9,2,0,0
3.3000,-1.0,900,3,2,0,0
3.3000,-1.0,900,9,2,0,0
3.6000,-1.0,900,3,2,0,0
3.6000,-1.0,900,9,2,0,0
3.9000,-1.0,900,3,2,0,0
3.9000,-1.0,900,9,2,0,0
4.2000,-1.0,900,3,2,0,0
4.2000,-1.0,900,9,2,0,0
4.5000,-1.0,900,3,2,0,0
4.5000,-1.0,900,9,2,0,0
4.8000,7.2000,110,5,2,0,0
4.8000,7.2000,110,11,2,0,0
5.1000,-1.0,900,5,2,0,0
5.1000,-1.0,900,11,2,0,0
5.4000,-1.0,900,5,2,0,0
5.4000,-1.0,900,11,2,0,0
5.7000,-1.0,900,5,2,0,0
5.7000,-1.0,900,11,2,0,0
6.0,-1.0,900,5,2,0,0
6.0,-1.0,900,11,2,0,0
6.3000,-1.0,900,5,2,0,0
6.3000,-1.0,900,11,2,0,0
6.6000,-1.0,900,5,2,0,0
6.6000,-1.0,900,11,2,0,0
6.9000,-1.0,900,5,2,0,0
6.9000,-1.0,900,11,2,0,0
8.7000,-1.0,82,5,2,0,0
8.7000,9.3000,110,5,2,JumpScratch,-4
8.7000,-1.0,82,11,2,0,0
8.7000,9.3000,110,11,2,JumpScratch,-4
9.0,-1.0,900,5,2,0,0
9.0,-1.0,900,11,2,0,0
9.3000,10.5000,110,9,2,JumpScratch,4
9.6000,-1.0,900,9,2,0,0
9.9000,-1.0,900,9,2,0,0
10.2000,-1.0,900,9,2,0,0
10.5000,-1.0,10,1,2,0,0
10.5000,10.8000,110,11,2,JumpScratch,-4
10.8000,-1.0,10,3,2,0,0
10.8000,11.1000,110,9,2,JumpScratch,4
11.1000,-1.0,82,5,2,0,0
11.1000,11.7000,110,5,2,JumpScratch,-4
11.4000,-1.0,900,5,2,0,0
11.7000,13.8000,110,3,2,JumpScratch,-4
11.7000,-1.0,82,9,2,0,0
11.7000,14.1000,110,9,2,JumpScratch,-4
12.0,-1.0,900,3,2,0,0
12.0,-1.0,900,9,2,0,0
12.3000,-1.0,900,3,2,0,0
12.3000,-1.0,900,9,2,0,0
12.6000,-1.0,900,3,2,0,0
12.6000,-1.0,900,9,2,0,0
12.9000,-1.0,900,3,2,0,0
12.9000,-1.0,900,9,2,0,0
13.2000,-1.0,900,3,2,0,0
13.2000,-1.0,900,9,2,0,0
13.5000,-1.0,900,3,2,0,0
13.5000,-1.0,900,9,2,0,0
13.8000,14.4000,110,1,2,JumpScratch,4
13.8000,-1.0,900,9,2,0,0
14.1000,-1.0,900,1,2,0,0
14.1000,14.4000,110,7,2,JumpScratch,4
14.4000,16.8000,110,3,2,0,0
14.4000,16.8000,110,9,2,0,0
14.7000,-1.0,900,3,2,0,0
14.7000,-1.0,900,9,2,0,0
15.0,-1.0,900,3,2,0,0
15.0,-1.0,900,9,2,0,0
15.3000,-1.0,900,3,2,0,0
15.3000,-1.0,900,9,2,0,0
15.6000,-1.0,900,3,2,0,0
15.6000,-1.0,900,9,2,0,0
15.9000,-1.0,900,3,2,0,0
15.9000,-1.0,900,9,2,0,0
16.2000,-1.0,900,3,2,0,0
16.2000,-1.0,900,9,2,0,0
16.5000,-1.0,900,3,2,0,0
16.5000,-1.0,900,9,2,0,0
