50.1493,51.9403,0,0,0,14,5
53.7313,55.5224,0,0,0,14,5
84.1791,91.2873,0,0,0,14,5
108.6940,-1,83,2,4
108.4701,-1,10,2,4
108.2463,-1,10,1,3
108.1343,-1,10,4,3
107.9104,-1,80,9,4
107.7985,-1,10,4,3
107.6866,-1,10,4,3
107.4627,-1,10,1,3
107.3507,-1,10,4,4
107.2388,-1,10,10,3
107.1269,-1,10,6,4
107.0149,-1,10,1,3
106.9030,-1,10,4,3
106.7910,-1,10,7,3
106.6791,-1,10,4,3
106.4552,-1,10,4,3
106.2313,-1,10,7,3
106.1194,-1,80,1,4
105.8955,-1,10,5,4
105.6716,-1,10,1,4
105.4478,-1,10,9,4
105.2239,-1,80,3,4
105.0,-1,10,1,4
104.8881,-1,10,4,3
104.7761,-1,80,7,4
104.6642,-1,10,3,4
104.5522,-1,10,7,3
104.4403,-1,10,9,4
104.3284,-1,80,1,4
104.2164,-1,10,7,4
104.1045,-1,10,3,4
103.8806,-1,10,1,4
103.4328,-1,82,3,4
103.2090,-1,10,1,4
102.9851,-1,80,7,4
102.8731,-1,10,3,4
102.6493,-1,10,7,3
102.5373,-1,80,1,4
102.3134,-1,10,5,4
102.0896,-1,10,1,4
101.8657,-1,10,9,4
101.7537,-1,10,7,3
101.6418,-1,80,3,4
101.4179,-1,10,1,4
101.1940,-1,80,7,4
101.0821,-1,10,4,3
100.9701,-1,10,7,3
100.8582,-1,10,9,4
100.7463,-1,80,1,4
100.6343,-1,10,7,4
100.5224,-1,10,3,4
100.2985,-1,10,1,4
100.0746,-1,20,8,5
99.8507,-1,82,1,5
99.7388,-1,900,9,4
99.5149,-1,900,1,4
99.2910,-1,82,1,4
99.1791,-1,10,7,3
99.0672,-1,10,4,3
98.9552,-1,10,1,4
98.7313,-1,10,4,4
98.5075,-1,10,1,4
98.2836,-1,10,1,4
98.0597,-1,10,7,4
97.8358,-1,10,3,4
97.7239,-1,10,1,3
97.5000,-1,10,1,3
97.3881,-1,10,3,4
97.2761,-1,10,9,4
97.1642,-1,10,1,4
96.9403,-1,10,3,4
96.7164,-1,10,1,4
96.4925,-1,10,3,4
96.2687,-1,10,1,4
96.0448,-1,10,7,4
95.9328,-1,900,2,4
95.7090,-1,80,2,4
95.4851,-1,10,10,3
95.3731,-1,10,1,4
95.1493,-1,10,4,4
94.9254,-1,10,2,4
94.7015,-1,10,1,4
94.5896,-1,10,4,3
94.4776,-1,10,7,4
94.2537,-1,10,3,4
94.1418,-1,10,1,3
93.9179,-1,10,1,3
93.8060,-1,10,7,4
93.6940,-1,10,4,3
93.5821,-1,10,1,4
93.3582,-1,10,2,4
93.1343,-1,50,10,3
92.9104,-1,900,1,3
92.6866,-1,900,1,3
92.4627,-1,900,1,3
92.2388,-1,82,1,3
92.0149,-1,20,1,3
91.6791,-1,20,4,3
91.3433,-1,20,1,3
91.2313,-1,10,10,3
91.1194,-1,10,1,3
91.0075,-1,10,7,3
90.8955,-1,10,1,3
90.7836,-1,10,4,3
90.6716,-1,900,1,3
90.4478,-1,80,1,3
90.3358,-1,10,4,3
90.2239,-1,10,1,3
90.1119,-1,10,7,3
90.0,-1,10,1,3
89.8881,-1,10,10,3
89.7761,-1,10,1,3
89.5522,-1,10,4,3
89.1045,-1,10,1,3
88.8806,-1,900,7,3
88.6567,-1,10,1,3
88.2090,-1,10,10,3
87.9851,-1,900,4,3
87.7612,-1,80,4,3
87.6493,-1,10,7,3
87.5373,-1,10,1,3
